college,State,region
Michigan Jewish Institute,MI,Region 8
Salon Professional Academy (The),MI,Region 8
Saginaw Chippewa Tribal College,MI,Region 8
Robert B. Miller College (The),MI,Region 9
Focus: Hope Information Technologies Center,MI,Region 8
Compass College of Cinematic Arts,MI,Region 8
Keweenaw Bay Ojibwa Community College,MI,Region 8
Anoka-Ramsey Community College,MN,Region 7A (Hennepin)
Augsburg College,MN,Region 7A (Hennepin)
Riverland Community College,MN,Region 7A (Hennepin)
Bemidji State University,MN,Region 7A (Hennepin)
Bethany Lutheran College,MN,Regions 3 and 4
Central Lakes College,MN,Regions 3 and 4
Carleton College,MN,Regions 5 and 6
College of Saint Benedict,MN,Regions 5 and 6
St. Catherine University,MN,Regions 5 and 6
College of Saint Scholastica,MN,Region 7C
University of Saint Thomas,MN,Region 7C
Concordia College - Moorhead,MN,Region 7C
Concordia University - Saint Paul,MN,Region 7C
